"GEO","CITY","PROVINCE","CDUID","YEAR","POPULATION"
"Abitibi-Ouest, Quebec","Abitibi-Ouest","Quebec","2487","2001",22324
"Abitibi, Quebec","Abitibi","Quebec","2488","2001",25031
"Acton, Quebec","Acton","Quebec","2448","2001",15454
"Alberni-Clayoquot, British Columbia","Alberni-Clayoquot","British Columbia","5923","2001",31598
"Albert, New Brunswick","Albert","New Brunswick","1306","2001",27516
"Algoma, Ontario","Algoma","Ontario","3557","2001",123765
"Annapolis, Nova Scotia","Annapolis","Nova Scotia","1205","2001",22332
"Antigonish, Nova Scotia","Antigonish","Nova Scotia","1214","2001",20082
"Antoine-Labelle, Quebec","Antoine-Labelle","Quebec","2479","2001",34141
"Argenteuil, Quebec","Argenteuil","Quebec","2476","2001",29499
"Arthabaska, Quebec","Arthabaska","Quebec","2439","2001",65336
"Avignon, Quebec","Avignon","Quebec","2406","2001",15540
"Baffin, Nunavut","Baffin","Nunavut","6204","2001",15118
"Beauce-Sartigan, Quebec","Beauce-Sartigan","Quebec","2429","2001",48841
"Beauharnois-Salaberry, Quebec","Beauharnois-Salaberry","Quebec","2470","2001",60292
"Becancour, Quebec","Becancour","Quebec","2438","2001",19431
"Bellechasse, Quebec","Bellechasse","Quebec","2419","2001",33996
"Bonaventure, Quebec","Bonaventure","Quebec","2405","2001",18598
"Brant, Ontario","Brant","Ontario","3529","2001",128937
"Brome-Missisquoi, Quebec","Brome-Missisquoi","Quebec","2446","2001",51938
"Bruce, Ontario","Bruce","Ontario","3541","2001",66364
"Bulkley-Nechako, British Columbia","Bulkley-Nechako","British Columbia","5951","2001",42477
"Cape Breton, Nova Scotia","Cape Breton","Nova Scotia","1217","2001",112046
"Capital, British Columbia","Capital","British Columbia","5917","2001",340081
"Cariboo, British Columbia","Cariboo","British Columbia","5941","2001",68233
"Carleton, New Brunswick","Carleton","New Brunswick","1311","2001",27919
"Central Coast, British Columbia","Central Coast","British Columbia","5945","2001",3919
"Central Kootenay, British Columbia","Central Kootenay","British Columbia","5903","2001",59374
"Central Okanagan, British Columbia","Central Okanagan","British Columbia","5935","2001",154213
"Charlevoix-Est, Quebec","Charlevoix-Est","Quebec","2415","2001",16927
"Charlevoix, Quebec","Charlevoix","Quebec","2416","2001",13419
"Charlotte, New Brunswick","Charlotte","New Brunswick","1302","2001",28135
"Chatham-Kent, Ontario","Chatham-Kent","Ontario","3536","2001",111909
"Coaticook, Quebec","Coaticook","Quebec","2444","2001",18769
"Cochrane, Ontario","Cochrane","Ontario","3556","2001",89508
"Colchester, Nova Scotia","Colchester","Nova Scotia","1210","2001",50678
"Columbia-Shuswap, British Columbia","Columbia-Shuswap","British Columbia","5939","2001",50202
"Comox Valley, British Columbia","Comox Valley","British Columbia","5926","2001",57558
"Cowichan Valley, British Columbia","Cowichan Valley","British Columbia","5919","2001",75055
"Cumberland, Nova Scotia","Cumberland","Nova Scotia","1211","2001",33442
"D'Autray, Quebec","D'Autray","Quebec","2452","2001",39174
"Deux-Montagnes, Quebec","Deux-Montagnes","Quebec","2472","2001",84453
"Digby, Nova Scotia","Digby","Nova Scotia","1203","2001",20071
"Division No. 1, Alberta","Division No. 1","Alberta","4801","2001",69153
"Division No. 1, Manitoba","Division No. 1","Manitoba","4601","2001",16949
"Division No. 1, Newfoundland and Labrador","Division No. 1","Newfoundland and Labrador","1001","2001",247430
"Division No. 1, Saskatchewan","Division No. 1","Saskatchewan","4701","2001",30835
"Division No. 10, Alberta","Division No. 10","Alberta","4810","2001",85125
"Division No. 10, Manitoba","Division No. 10","Manitoba","4610","2001",9711
"Division No. 10, Newfoundland and Labrador","Division No. 10","Newfoundland and Labrador","1010","2001",25709
"Division No. 10, Saskatchewan","Division No. 10","Saskatchewan","4710","2001",19741
"Division No. 11, Alberta","Division No. 11","Alberta","4811","2001",1002509
"Division No. 11, Manitoba","Division No. 11","Manitoba","4611","2001",639106
"Division No. 11, Newfoundland and Labrador","Division No. 11","Newfoundland and Labrador","1011","2001",2688
"Division No. 11, Saskatchewan","Division No. 11","Saskatchewan","4711","2001",242960
"Division No. 12, Alberta","Division No. 12","Alberta","4812","2001",62761
"Division No. 12, Manitoba","Division No. 12","Manitoba","4612","2001",19780
"Division No. 12, Saskatchewan","Division No. 12","Saskatchewan","4712","2001",24228
"Division No. 13, Alberta","Division No. 13","Alberta","4813","2001",65536
"Division No. 13, Manitoba","Division No. 13","Manitoba","4613","2001",43439
"Division No. 13, Saskatchewan","Division No. 13","Saskatchewan","4713","2001",24541
"Division No. 14, Alberta","Division No. 14","Alberta","4814","2001",27486
"Division No. 14, Manitoba","Division No. 14","Manitoba","4614","2001",18070
"Division No. 14, Saskatchewan","Division No. 14","Saskatchewan","4714","2001",40284
"Division No. 15, Alberta","Division No. 15","Alberta","4815","2001",34887
"Division No. 15, Manitoba","Division No. 15","Manitoba","4615","2001",21686
"Division No. 15, Saskatchewan","Division No. 15","Saskatchewan","4715","2001",82347
"Division No. 16, Alberta","Division No. 16","Alberta","4816","2001",44235
"Division No. 16, Manitoba","Division No. 16","Manitoba","4616","2001",10607
"Division No. 16, Saskatchewan","Division No. 16","Saskatchewan","4716","2001",38460
"Division No. 17, Alberta","Division No. 17","Alberta","4817","2001",59312
"Division No. 17, Manitoba","Division No. 17","Manitoba","4617","2001",23524
"Division No. 17, Saskatchewan","Division No. 17","Saskatchewan","4717","2001",41082
"Division No. 18, Alberta","Division No. 18","Alberta","4818","2001",14670
"Division No. 18, Manitoba","Division No. 18","Manitoba","4618","2001",23270
"Division No. 18, Saskatchewan","Division No. 18","Saskatchewan","4718","2001",32839
"Division No. 19, Alberta","Division No. 19","Alberta","4819","2001",88643
"Division No. 19, Manitoba","Division No. 19","Manitoba","4619","2001",16242
"Division No. 2, Alberta","Division No. 2","Alberta","4802","2001",137367
"Division No. 2, Manitoba","Division No. 2","Manitoba","4602","2001",53038
"Division No. 2, Newfoundland and Labrador","Division No. 2","Newfoundland and Labrador","1002","2001",24755
"Division No. 2, Saskatchewan","Division No. 2","Saskatchewan","4702","2001",22053
"Division No. 20, Manitoba","Division No. 20","Manitoba","4620","2001",11296
"Division No. 21, Manitoba","Division No. 21","Manitoba","4621","2001",23181
"Division No. 22, Manitoba","Division No. 22","Manitoba","4622","2001",36178
"Division No. 23, Manitoba","Division No. 23","Manitoba","4623","2001",9202
"Division No. 3, Alberta","Division No. 3","Alberta","4803","2001",38498
"Division No. 3, Manitoba","Division No. 3","Manitoba","4603","2001",42802
"Division No. 3, Newfoundland and Labrador","Division No. 3","Newfoundland and Labrador","1003","2001",19663
"Division No. 3, Saskatchewan","Division No. 3","Saskatchewan","4703","2001",15119
"Division No. 4, Alberta","Division No. 4","Alberta","4804","2001",11536
"Division No. 4, Manitoba","Division No. 4","Manitoba","4604","2001",10826
"Division No. 4, Newfoundland and Labrador","Division No. 4","Newfoundland and Labrador","1004","2001",22539
"Division No. 4, Saskatchewan","Division No. 4","Saskatchewan","4704","2001",11956
"Division No. 5, Alberta","Division No. 5","Alberta","4805","2001",48824
"Division No. 5, Manitoba","Division No. 5","Manitoba","4605","2001",14213
"Division No. 5, Newfoundland and Labrador","Division No. 5","Newfoundland and Labrador","1005","2001",41174
"Division No. 5, Saskatchewan","Division No. 5","Saskatchewan","4705","2001",33155
"Division No. 6, Alberta","Division No. 6","Alberta","4806","2001",1048974
"Division No. 6, Manitoba","Division No. 6","Manitoba","4606","2001",10390
"Division No. 6, Newfoundland and Labrador","Division No. 6","Newfoundland and Labrador","1006","2001",36858
"Division No. 6, Saskatchewan","Division No. 6","Saskatchewan","4706","2001",223895
"Division No. 7, Alberta","Division No. 7","Alberta","4807","2001",41363
"Division No. 7, Manitoba","Division No. 7","Manitoba","4607","2001",59517
"Division No. 7, Newfoundland and Labrador","Division No. 7","Newfoundland and Labrador","1007","2001",37950
"Division No. 7, Saskatchewan","Division No. 7","Saskatchewan","4707","2001",47891
"Division No. 8, Alberta","Division No. 8","Alberta","4808","2001",157160
"Division No. 8, Manitoba","Division No. 8","Manitoba","4608","2001",14345
"Division No. 8, Newfoundland and Labrador","Division No. 8","Newfoundland and Labrador","1008","2001",42860
"Division No. 8, Saskatchewan","Division No. 8","Saskatchewan","4708","2001",31262
"Division No. 9, Alberta","Division No. 9","Alberta","4809","2001",20069
"Division No. 9, Manitoba","Division No. 9","Manitoba","4609","2001",24082
"Division No. 9, Newfoundland and Labrador","Division No. 9","Newfoundland and Labrador","1009","2001",20420
"Division No. 9, Saskatchewan","Division No. 9","Saskatchewan","4709","2001",37591
"Drummond, Quebec","Drummond","Quebec","2449","2001",89572
"Dufferin, Ontario","Dufferin","Ontario","3522","2001",53090
"Durham, Ontario","Durham","Ontario","3518","2001",527619
"East Kootenay, British Columbia","East Kootenay","British Columbia","5901","2001",58621
"Elgin, Ontario","Elgin","Ontario","3534","2001",84732
"Essex, Ontario","Essex","Ontario","3537","2001",390809
"Francheville, Quebec","Francheville","Quebec","2437","2001",142162
"Fraser-Fort George, British Columbia","Fraser-Fort George","British Columbia","5953","2001",99139
"Fraser Valley, British Columbia","Fraser Valley","British Columbia","5909","2001",247832
"Frontenac, Ontario","Frontenac","Ontario","3510","2001",144159
"Gatineau, Quebec","Gatineau","Quebec","2481","2001",231368
"Gloucester, New Brunswick","Gloucester","New Brunswick","1315","2001",87557
"Greater Sudbury, Ontario","Greater Sudbury","Ontario","3553","2001",161140
"Greater Vancouver, British Columbia","Greater Vancouver","British Columbia","5915","2001",2074540
"Grey, Ontario","Grey","Ontario","3542","2001",92566
"Guysborough, Nova Scotia","Guysborough","Nova Scotia","1213","2001",10060
"Haldimand-Norfolk, Ontario","Haldimand-Norfolk","Ontario","3528","2001",109554
"Haliburton, Ontario","Haliburton","Ontario","3546","2001",15711
"Halifax, Nova Scotia","Halifax","Nova Scotia","1209","2001",369250
"Halton, Ontario","Halton","Ontario","3524","2001",390950
"Hamilton, Ontario","Hamilton","Ontario","3525","2001",510157
"Hants, Nova Scotia","Hants","Nova Scotia","1208","2001",41673
"Hastings, Ontario","Hastings","Ontario","3512","2001",132235
"Huron, Ontario","Huron","Ontario","3540","2001",61985
"Inverness, Nova Scotia","Inverness","Nova Scotia","1215","2001",20445
"Joliette, Quebec","Joliette","Quebec","2461","2001",55305
"Kamouraska, Quebec","Kamouraska","Quebec","2414","2001",22907
"Kawartha Lakes, Ontario","Kawartha Lakes","Ontario","3516","2001",72008
"Keewatin, Nunavut","Keewatin","Nunavut","6205","2001",7951
"Kenora, Ontario","Kenora","Ontario","3560","2001",66532
"Kent, New Brunswick","Kent","New Brunswick","1308","2001",32260
"Kings, New Brunswick","Kings","New Brunswick","1305","2001",65961
"Kings, Nova Scotia","Kings","Nova Scotia","1207","2001",60418
"Kings, Prince Edward Island","Kings","Prince Edward Island","1101","2001",19363
"Kitikmeot, Nunavut","Kitikmeot","Nunavut","6208","2001",5064
"Kitimat-Stikine, British Columbia","Kitimat-Stikine","British Columbia","5949","2001",43257
"Kootenay Boundary, British Columbia","Kootenay Boundary","British Columbia","5905","2001",33130
"L'Érable, Quebec","L'Érable","Quebec","2432","2001",24454
"L'Assomption, Quebec","L'Assomption","Quebec","2460","2001",105930
"L'Ile-d'Orleans, Quebec","L'Ile-d'Orleans","Quebec","2420","2001",6902
"L'Islet, Quebec","L'Islet","Quebec","2417","2001",19723
"La Côte-de-Beaupre, Quebec","La Côte-de-Beaupre","Quebec","2421","2001",21414
"La Côte-de-Gaspe, Quebec","La Côte-de-Gaspe","Quebec","2403","2001",18856
"La Haute-Côte-Nord, Quebec","La Haute-Côte-Nord","Quebec","2495","2001",13133
"La Haute-Gaspesie, Quebec","La Haute-Gaspesie","Quebec","2404","2001",12931
"La Haute-Yamaska, Quebec","La Haute-Yamaska","Quebec","2447","2001",75864
"La Jacques-Cartier, Quebec","La Jacques-Cartier","Quebec","2422","2001",27057
"La Matapedia, Quebec","La Matapedia","Quebec","2407","2001",20265
"La Mitis, Quebec","La Mitis","Quebec","2409","2001",19671
"La Nouvelle-Beauce, Quebec","La Nouvelle-Beauce","Quebec","2426","2001",31293
"La Riviere-du-Nord, Quebec","La Riviere-du-Nord","Quebec","2475","2001",92351
"La Tuque, Quebec","La Tuque","Quebec","2490","2001",16143
"La Vallee-de-l'Or, Quebec","La Vallee-de-l'Or","Quebec","2489","2001",43074
"La Vallee-de-la-Gatineau, Quebec","La Vallee-de-la-Gatineau","Quebec","2483","2001",19984
"La Vallee-du-Richelieu, Quebec","La Vallee-du-Richelieu","Quebec","2457","2001",98123
"Lac-Saint-Jean-Est, Quebec","Lac-Saint-Jean-Est","Quebec","2493","2001",52710
"Lambton, Ontario","Lambton","Ontario","3538","2001",131810
"Lanark, Ontario","Lanark","Ontario","3509","2001",64999
"Laval, Quebec","Laval","Quebec","2465","2001",350373
"Le Domaine-du-Roy, Quebec","Le Domaine-du-Roy","Quebec","2491","2001",33442
"Le Granit, Quebec","Le Granit","Quebec","2430","2001",22199
"Le Haut-Richelieu, Quebec","Le Haut-Richelieu","Quebec","2456","2001",102751
"Le Haut-Saint-François, Quebec","Le Haut-Saint-François","Quebec","2441","2001",21813
"Le Haut-Saint-Laurent, Quebec","Le Haut-Saint-Laurent","Quebec","2469","2001",24931
"Le Rocher-Perce, Quebec","Le Rocher-Perce","Quebec","2402","2001",19604
"Le Saguenay-et-son-Fjord, Quebec","Le Saguenay-et-son-Fjord","Quebec","2494","2001",169739
"Le Val-Saint-François, Quebec","Le Val-Saint-François","Quebec","2442","2001",28924
"Leeds and Grenville, Ontario","Leeds and Grenville","Ontario","3507","2001",100403
"Lennox and Addington, Ontario","Lennox and Addington","Ontario","3511","2001",40934
"Les Appalaches, Quebec","Les Appalaches","Quebec","2431","2001",44049
"Les Basques, Quebec","Les Basques","Quebec","2411","2001",10002
"Les Collines-de-l'Outaouais, Quebec","Les Collines-de-l'Outaouais","Quebec","2482","2001",35997
"Les Etchemins, Quebec","Les Etchemins","Quebec","2428","2001",18068
"Les Iles-de-la-Madeleine, Quebec","Les Iles-de-la-Madeleine","Quebec","2401","2001",13055
"Les Jardins-de-Napierville, Quebec","Les Jardins-de-Napierville","Quebec","2468","2001",23277
"Les Laurentides, Quebec","Les Laurentides","Quebec","2478","2001",39453
"Les Maskoutains, Quebec","Les Maskoutains","Quebec","2454","2001",80482
"Les Moulins, Quebec","Les Moulins","Quebec","2464","2001",112394
"Les Pays-d'en-Haut, Quebec","Les Pays-d'en-Haut","Quebec","2477","2001",31675
"Les Sources, Quebec","Les Sources","Quebec","2440","2001",14815
"Levis, Quebec","Levis","Quebec","2425","2001",124484
"Longueuil, Quebec","Longueuil","Quebec","2458","2001",379478
